route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"NAOLIBORG:Line:139","NAOLIBORG:Operator:1","139","Sautron - Angevinière",,3,,a9162e,ffffff,339
"NAOLIBORG:Line:141","NAOLIBORG:Operator:1","141","Sainte Philomène - La Ferme",,3,,a9162e,ffffff,341
"NAOLIBORG:Line:142","NAOLIBORG:Operator:1","142","CAT Vertonne - Porte de Vertou",,3,,a9162e,ffffff,342
"NAOLIBORG:Line:147","NAOLIBORG:Operator:1","147","Bournière - Toutes Aides",,3,,a9162e,ffffff,347
"NAOLIBORG:Line:149","NAOLIBORG:Operator:1","149","Cheverny - Sautron",,3,,a9162e,ffffff,349
"NAOLIBORG:Line:152","NAOLIBORG:Operator:1","152","La Herdrie - Pirmil",,3,,a9162e,ffffff,352
"NAOLIBORG:Line:157","NAOLIBORG:Operator:1","157","Toutes Aides - Le Halleray",,3,,a9162e,ffffff,357
"NAOLIBORG:Line:158","NAOLIBORG:Operator:1","158","St Jean de Boisseau - Lycée de Bouaye",,3,,a9162e,ffffff,358
"NAOLIBORG:Line:159","NAOLIBORG:Operator:1","159","Sautron - Angevinière",,3,,a9162e,ffffff,359
"NAOLIBORG:Line:162","NAOLIBORG:Operator:1","162","La Herdrie - Pirmil",,3,,a9162e,ffffff,362
"NAOLIBORG:Line:168","NAOLIBORG:Operator:1","168","St Jean de Boiseau - Lycée d'Orbigny",,3,,a9162e,ffffff,368
"NAOLIBORG:Line:169","NAOLIBORG:Operator:1","169","Sautron - Thébaudières",,3,,a9162e,ffffff,369
"NAOLIBORG:Line:172","NAOLIBORG:Operator:1","172","René Bernier - Pirmil",,3,,a9162e,ffffff,372
"NAOLIBORG:Line:179","NAOLIBORG:Operator:1","179","Les Anges - Orvault-Morlière",,3,,a9162e,ffffff,379
"NAOLIBORG:Line:189","NAOLIBORG:Operator:1","189","Pont Marchand - Angevinière",,3,,a9162e,ffffff,389
"NAOLIBORG:Line:192","NAOLIBORG:Operator:1","192","Jean Monnet - Porte de Vertou",,3,,a9162e,ffffff,392
